,大阪,大阪,大阪,大阪
年月日,降水量の合計(mm),降水量の合計(mm),最高気温(℃),最低気温(℃)
,,,,
,,現象なし情報,,
2015/1/1,0.0,0.0,5.5,0.3
2015/1/2,0.0,0.0,6.8,1.4
2015/1/3,0.0,1.0,7.7,0.8
2015/1/4,0.0,0.0,10.5,1.2
2015/1/5,0.0,1.0,12.2,4.1
2015/1/6,11.5,0.0,10.8,5.7
2015/1/7,0.0,0.0,9.8,3.6
2015/1/8,0.0,0.0,8.0,3.5
2015/1/9,1.0,0.0,8.2,4.5
2015/1/10,0.0,0.0,9.6,4.8
2015/1/11,0.0,0.0,11.0,4.7
2015/1/12,0.0,1.0,8.0,2.5
2015/1/13,0.0,0.0,8.9,2.9
2015/1/14,0.0,0.0,9.0,1.2
2015/1/15,27.0,0.0,8.4,5.4
2015/1/16,0.0,1.0,9.9,5.5
2015/1/17,1.0,0.0,8.9,3.8
2015/1/18,0.0,0.0,9.1,2.0
2015/1/19,0.0,0.0,11.4,3.6
2015/1/20,0.0,0.0,10.3,3.4
2015/1/21,0.0,0.0,10.2,1.4
2015/1/22,14.5,0.0,9.6,6.9
2015/1/23,1.5,0.0,10.0,4.9
2015/1/24,0.0,1.0,10.5,2.9
2015/1/25,0.0,1.0,11.5,3.6
2015/1/26,24.5,0.0,10.6,5.9
2015/1/27,2.5,0.0,14.1,4.6
2015/1/28,0.0,0.0,7.7,1.8
2015/1/29,0.0,0.0,5.8,0.8
2015/1/30,9.5,0.0,6.9,3.3
2015/1/31,0.0,0.0,6.5,1.5
2015/2/1,0.0,0.0,7.4,0.2
2015/2/2,0.0,0.0,7.0,3.0
2015/2/3,0.0,0.0,8.0,4.4
2015/2/4,0.0,1.0,10.6,3.2
2015/2/5,0.0,0.0,10.1,4.8
2015/2/6,0.0,0.0,8.8,3.2
2015/2/7,0.0,0.0,10.9,0.8
2015/2/8,1.5,0.0,11.3,1.3
2015/2/9,0.0,0.0,4.9,0.0
2015/2/10,0.0,1.0,8.6,1.1
2015/2/11,0.0,1.0,12.3,5.4
2015/2/12,0.5,0.0,11.8,3.5
2015/2/13,0.0,0.0,7.8,2.0
